Latitude,Longitude,Extreme_High_Temp_C
37.0833,69.0833,39.69
37.0833,69.25,39.42
37.0833,69.4167,39.73
37.0833,69.5833,38.6
37.0833,69.75,34.42
37.0833,69.9167,31.51
37.0833,70.0833,35.03
37.0833,70.25,33.94
37.0833,70.4167,31.71
37.0833,70.5833,32.43
37.0833,70.75,29.99
37.0833,70.9167,26.9
37.0833,71.0833,23.12
37.0833,71.25,21.65
37.0833,71.4167,20.99
37.0833,71.5833,16.78
37.0833,71.75,13.24
37.0833,71.9167,15.74
37.0833,72.0833,12.83
37.0833,72.25,12.78
37.0833,72.4167,14.6
37.0833,72.5833,16.58
37.0833,72.75,19.08
37.0833,72.9167,13.76
37.0833,73.0833,10.9
37.0833,73.25,10.73
37.0833,73.4167,14.31
37.0833,73.5833,16.4
37.0833,73.75,16.15
37.0833,73.9167,17.42
37.0833,74.0833,16.35
37.0833,74.25,12.87
37.0833,74.4167,10.87
37.0833,74.5833,11.37
37.0833,74.75,13.57
37.0833,74.9167,15.19
37.0833,75.0833,13.8
37.0833,75.25,12.54
37.0833,75.4167,17.61
37.0833,75.5833,16.3
37.0833,75.75,13.03
37.0833,75.9167,20.33
37.0833,76.0833,17.6
37.0833,76.25,16.73
37.0833,76.4167,18.24
37.0833,76.5833,20.13
37.0833,76.75,25.73
37.0833,76.9167,24.33
37.0833,77.0833,22.8
37.0833,77.25,22.03
37.0833,77.4167,24.14
37.0833,77.5833,22.23
37.0833,77.75,23.29
37.0833,77.9167,24.31
37.0833,78.0833,25.43
37.0833,78.25,26.58
37.0833,78.4167,27.79
37.0833,78.5833,29.43
37.0833,78.75,29.64
37.0833,78.9167,30.97
37.0833,79.0833,30.92
37.0833,79.25,31.07
37.0833,79.4167,32.49
37.0833,79.5833,33.11
37.0833,79.75,32.12
37.0833,79.9167,32.03
37.0833,80.0833,32.15
37.0833,80.25,32.97
37.0833,80.4167,34.15
37.0833,80.5833,34.64
37.0833,80.75,34.12
37.0833,80.9167,33.76
37.0833,81.0833,33.68
37.0833,81.25,33.99
37.0833,81.4167,34.47
37.0833,81.5833,34.25
37.0833,81.75,34.67
37.0833,81.9167,34.76
37.0833,82.0833,34.67
37.0833,82.25,34.69
37.0833,82.4167,34.78
37.0833,82.5833,34.54
37.0833,82.75,33.62
37.0833,82.9167,34.28
37.0833,83.0833,33.66
37.0833,83.25,33.01
37.0833,83.4167,32.37
37.0833,83.5833,31.68
37.0833,83.75,30.81
37.0833,83.9167,29.97
37.0833,84.0833,28.98
37.0833,84.25,27.75
37.0833,84.4167,26.03
37.0833,84.5833,25.03
37.0833,84.75,20.7
37.0833,84.9167,17.74
37.0833,85.0833,16.16
37.0833,85.25,15.15
37.0833,85.4167,14.92
37.0833,85.5833,11.93
37.0833,85.75,11.7
37.0833,85.9167,11.64
37.0833,86.0833,12.11
37.0833,86.25,12.22
37.0833,86.4167,12.35
37.0833,86.5833,14.66
37.0833,86.75,16.27
37.0833,86.9167,16.5
37.0833,87.0833,15.8
37.0833,87.25,14.55
37.0833,87.4167,14.31
37.0833,87.5833,13.99
37.0833,87.75,14.33
37.0833,87.9167,14.71
37.0833,88.0833,14.86
37.0833,88.25,14.6
37.0833,88.4167,13.22
37.0833,88.5833,14.3
37.0833,88.75,14.44
37.0833,88.9167,14.25
37.0833,89.0833,14.69
37.0833,89.25,15.06
37.0833,89.4167,15.58
37.0833,89.5833,15.17
37.0833,89.75,15.11
37.0833,89.9167,15.32
37.0833,90.0833,15.68
37.0833,90.25,16.13
37.0833,90.4167,15.97
37.0833,90.5833,15.38
37.0833,90.75,15.17
37.0833,90.9167,12.87
37.0833,91.0833,11.2
37.0833,91.25,10.83
37.0833,91.4167,11.47
37.0833,91.5833,13.55
37.0833,91.75,15.75
37.0833,91.9167,17.83
37.0833,92.0833,19.67
37.0833,92.25,21.51
37.0833,92.4167,22.71
37.0833,92.5833,23.44
37.0833,92.75,23.98
37.0833,92.9167,23.21
37.0833,93.0833,21.93
37.0833,93.25,23.02
37.0833,93.4167,24.32
37.0833,93.5833,24.71
37.0833,93.75,25.36
37.0833,93.9167,25.81
37.0833,94.0833,26.22
37.0833,94.25,24.72
37.0833,94.4167,25.35
37.0833,94.5833,25.82
37.0833,94.75,25.95
37.0833,94.9167,25.62
37.0833,95.0833,24.31
37.0833,95.25,25.0
37.0833,95.4167,25.72
37.0833,95.5833,25.4
37.0833,95.75,24.96
37.0833,95.9167,24.28
37.0833,96.0833,23.95
37.0833,96.25,23.27
37.0833,96.4167,22.93
