Latitude,Longitude,Tmax_C
34.5833,69.0833,2.2
34.5833,69.25,3.66
34.5833,69.4167,3.24
34.5833,69.5833,6.88
34.5833,69.75,9.33
34.5833,69.9167,10.75
34.5833,70.0833,13.46
34.5833,70.25,13.98
34.5833,70.4167,13.49
34.5833,70.5833,14.01
34.5833,70.75,13.13
34.5833,70.9167,12.83
34.5833,71.0833,11.33
34.5833,71.25,13.89
34.5833,71.4167,14.12
34.5833,71.5833,12.99
34.5833,71.75,13.13
34.5833,71.9167,13.33
34.5833,72.0833,13.25
34.5833,72.25,12.03
34.5833,72.4167,12.48
34.5833,72.5833,12.31
34.5833,72.75,12.7
34.5833,72.9167,9.31
34.5833,73.0833,11.04
34.5833,73.25,9.94
34.5833,73.4167,7.73
34.5833,73.5833,1.56
34.5833,73.75,0.13
34.5833,73.9167,3.2
34.5833,74.0833,2.19
34.5833,74.25,4.86
34.5833,74.4167,2.97
34.4167,69.0833,0.89
34.4167,69.25,1.63
34.4167,69.4167,1.19
34.4167,69.5833,2.96
34.4167,69.75,6.32
34.4167,69.9167,8.14
34.4167,70.0833,11.4
34.4167,70.25,13.44
34.4167,70.4167,15.28
34.4167,70.5833,15.42
34.4167,70.75,15.49
34.4167,70.9167,15.15
34.4167,71.0833,14.39
34.4167,71.25,14.96
34.4167,71.4167,14.79
34.4167,71.5833,14.92
34.4167,71.75,15.86
34.4167,71.9167,15.69
34.4167,72.0833,15.36
34.4167,72.25,14.16
34.4167,72.4167,13.38
34.4167,72.5833,13.51
34.4167,72.75,13.34
34.4167,72.9167,12.44
34.4167,73.0833,13.14
34.4167,73.25,13.59
34.4167,73.4167,12.49
34.4167,73.5833,8.96
34.4167,73.75,7.62
34.4167,73.9167,1.99
34.4167,74.0833,3.75
34.4167,74.25,7.58
34.4167,74.4167,6.37
34.4167,74.5833,6.07
34.25,69.0833,0.28
34.25,69.25,0.14
34.25,69.75,3.34
34.25,69.9167,5.55
34.25,70.0833,10.15
34.25,70.25,12.63
34.25,70.4167,14.35
34.25,70.5833,15.33
34.25,70.75,15.98
34.25,70.9167,16.07
34.25,71.0833,15.87
34.25,71.25,15.68
34.25,71.4167,16.55
34.25,71.5833,17.01
34.25,71.75,16.67
34.25,71.9167,16.36
34.25,72.0833,16.23
34.25,72.25,15.95
34.25,72.4167,15.62
34.25,72.5833,15.07
34.25,72.75,13.97
34.25,72.9167,14.65
34.25,73.0833,13.87
34.25,73.25,12.11
34.25,73.4167,10.96
34.25,73.5833,11.44
34.25,73.75,7.34
34.25,73.9167,3.46
34.25,74.0833,0.41
34.25,74.25,5.2
34.25,74.4167,7.72
34.25,74.5833,7.85
34.25,74.75,5.38
34.25,74.9167,2.3
34.0833,70.25,4.36
34.0833,70.4167,7.56
34.0833,70.5833,10.44
34.0833,70.75,12.62
34.0833,70.9167,12.65
34.0833,71.0833,13.1
34.0833,71.25,14.31
34.0833,71.4167,17.51
34.0833,71.5833,17.57
34.0833,71.75,17.28
34.0833,71.9167,17.06
34.0833,72.0833,16.71
34.0833,72.25,16.69
34.0833,72.4167,16.5
34.0833,72.5833,16.43
34.0833,72.75,15.8
34.0833,72.9167,16.06
34.0833,73.0833,14.64
34.0833,73.25,12.42
34.0833,73.4167,9.69
34.0833,73.5833,11.28
34.0833,73.75,8.55
34.0833,73.9167,6.1
34.0833,74.0833,5.15
34.0833,74.25,0.6
34.0833,74.4167,3.16
34.0833,74.5833,7.06
34.0833,74.75,7.33
34.0833,74.9167,5.84
33.9167,69.75,1.3
33.9167,69.9167,4.89
33.9167,70.0833,7.28
33.9167,70.25,3.1
33.9167,70.4167,0.53
33.9167,70.5833,2.69
33.9167,70.75,7.23
33.9167,70.9167,10.54
33.9167,71.0833,13.17
33.9167,71.25,15.47
33.9167,71.4167,17.57
33.9167,71.5833,17.66
33.9167,71.75,17.66
33.9167,71.9167,16.9
33.9167,72.0833,16.82
33.9167,72.25,17.06
33.9167,72.4167,16.96
33.9167,72.5833,16.82
33.9167,72.75,16.36
33.9167,72.9167,16.04
33.9167,73.0833,14.01
33.9167,73.25,12.86
33.9167,73.4167,10.99
33.9167,73.5833,12.99
33.9167,73.75,10.83
33.9167,73.9167,7.56
33.9167,74.0833,6.48
33.9167,74.25,2.74
33.9167,74.5833,2.02
33.9167,74.75,6.28
33.9167,74.9167,7.38
33.9167,75.0833,6.41
33.9167,75.25,2.38
33.75,69.75,3.81
33.75,69.9167,6.49
33.75,70.0833,9.97
33.75,70.25,11.36
33.75,70.4167,9.97
33.75,70.5833,7.71
33.75,70.75,8.8
33.75,70.9167,9.82
33.75,71.0833,12.05
33.75,71.25,14.11
33.75,71.4167,15.67
33.75,71.5833,16.95
33.75,71.75,15.85
33.75,71.9167,16.61
33.75,72.0833,17.49
33.75,72.25,17.39
33.75,72.4167,17.43
33.75,72.5833,16.96
33.75,72.75,16.75
33.75,72.9167,15.81
33.75,73.0833,15.21
33.75,73.25,15.73
33.75,73.4167,13.74
33.75,73.5833,13.5
33.75,73.75,11.0
33.75,73.9167,12.26
33.75,74.0833,12.17
33.75,74.25,8.62
33.75,74.75,3.21
33.75,74.9167,6.38
33.75,75.0833,7.49
33.75,75.25,6.56
33.5833,69.75,4.62
33.5833,69.9167,10.12
33.5833,70.0833,11.52
33.5833,70.25,13.21
33.5833,70.4167,12.35
